date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:57	43163/43163	---M--	200	added ('OK')	image/jpeg	etag:%228656086d-4f99-44ee-ae49-dc5fd05d53cb%22	https://www.cityofdoral.com/files/assets/city/v/7/featured-backgrounds/hero-image.jpg?w=480	C:/My%20Web%20Sites/doral/www.cityofdoral.com/files/assets/city/v/7/featured-backgrounds/hero-image8e75.jpg	(from https://www.cityofdoral.com/Home)
11:04:57	98745/98745	---M--	200	added ('OK')	image/jpeg	etag:%228656086d-4f99-44ee-ae49-dc5fd05d53cb%22	https://www.cityofdoral.com/files/assets/city/v/7/featured-backgrounds/hero-image.jpg?w=768	C:/My%20Web%20Sites/doral/www.cityofdoral.com/files/assets/city/v/7/featured-backgrounds/hero-image6410.jpg	(from https://www.cityofdoral.com/Home)
11:04:57	153459/153459	---M--	200	added ('OK')	image/jpeg	etag:%228656086d-4f99-44ee-ae49-dc5fd05d53cb%22	https://www.cityofdoral.com/files/assets/city/v/7/featured-backgrounds/hero-image.jpg?w=992	C:/My%20Web%20Sites/doral/www.cityofdoral.com/files/assets/city/v/7/featured-backgrounds/hero-image16e6.jpg	(from https://www.cityofdoral.com/Home)
11:04:58	366919/366919	---M-Z	200	added ('OK')	text/css	etag:%222bb95eb4-71e6-478c-b987-08880428c58c%22	https://www.cityofdoral.com/files/oc-templates/00000000-0000-0000-0000-000000000000/cb43379f-eba5-4cd1-93a4-8079e117411e/v/249/oc_grid.css~oc_grid_s1.css~oc_style.css~oc_wizard_style.css~oc_main.css~oc_forms.css~oc_wizard.css~oc_wizard_menu.css~oc_main_s1.css~oc_wizard_s1.css~oc_wizard_menu_s1.css~OcScriptCombine_Minify0?uniqueid=20250929055040	C:/My%20Web%20Sites/doral/www.cityofdoral.com/files/oc-templates/00000000-0000-0000-0000-000000000000/cb43379f-eba5-4cd1-93a4-8079e117411e/v/249/oc_grid.css_oc_grid_s1.css_oc_style.css_oc_wizard_style.css_oc_main.css_oc_forms.css_oc_wizard	(from https://www.cityofdoral.com/Home)
11:04:58	4447/4447	---M-Z	200	added ('OK')	text/css	etag:%22b9aba9f5-68ef-49ea-809b-92a9e4d90095%22	https://www.cityofdoral.com/files/oc-templates/00000000-0000-0000-0000-000000000000/cb43379f-eba5-4cd1-93a4-8079e117411e/v/249/oc_print.css~client_print.css~OcScriptCombine_Minify0?uniqueid=20250929055040	C:/My%20Web%20Sites/doral/www.cityofdoral.com/files/oc-templates/00000000-0000-0000-0000-000000000000/cb43379f-eba5-4cd1-93a4-8079e117411e/v/249/oc_print.css_client_print4441.css	(from https://www.cityofdoral.com/Home)
11:04:58	1002155/1002155	---M--	200	added ('OK')	image/jpeg	etag:%228656086d-4f99-44ee-ae49-dc5fd05d53cb%22	https://www.cityofdoral.com/files/assets/city/v/7/featured-backgrounds/hero-image.jpg	C:/My%20Web%20Sites/doral/www.cityofdoral.com/files/assets/city/v/7/featured-backgrounds/hero-image.jpg	(from https://www.cityofdoral.com/Home)
11:04:58	517262/517262	---M-Z	200	added ('OK')	application/x-javascript	etag:%22c214b715-6ed0-4b6f-bf0e-9c42421b0c67%22	https://www.cityofdoral.com/files/oc-templates/00000000-0000-0000-0000-000000000000/cb43379f-eba5-4cd1-93a4-8079e117411e/v/249/external_plugins.js~oc_form_helper.js~oc_main.js~plugins.js~oc_main_init.js~OcScriptCombine_Minify0?uniqueid=20250929055040	C:/My%20Web%20Sites/doral/www.cityofdoral.com/files/oc-templates/00000000-0000-0000-0000-000000000000/cb43379f-eba5-4cd1-93a4-8079e117411e/v/249/external_plugins.js_oc_form_helper.js_oc_main.js_plugins.js_oc_main_init4441.js	(from https://www.cityofdoral.com/Home)
11:04:58	86913/86913	---M-Z	200	added ('OK')	text/css	etag:%22df826a13-27ee-44f6-9953-fc64cec55d26%22	https://www.cityofdoral.com/files/oc-templates/00000000-0000-0000-0000-000000000000/cb43379f-eba5-4cd1-93a4-8079e117411e/v/249/client_style.css~client.css~client_menu.css~client_s1.css~client_menu_s1.css~client_forms.css~OcScriptCombine_Minify0?uniqueid=20250929055040	C:/My%20Web%20Sites/doral/www.cityofdoral.com/files/oc-templates/00000000-0000-0000-0000-000000000000/cb43379f-eba5-4cd1-93a4-8079e117411e/v/249/client_style.css_client.css_client_menu.css_client_s1.css_client_menu_s1.css_client_forms.f4441	(from https://www.cityofdoral.com/Home)
11:04:59	10190/10190	---MC-	200	added ('OK')	text/javascript	etag:W/%222af78be4d52c58424f19c23db420c887%22	https://app-script.monsido.com/v2/monsido-script.js	C:/My%20Web%20Sites/doral/app-script.monsido.com/v2/monsido-script.js	(from https://www.cityofdoral.com/Home)
11:05:00	68048/68048	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2019%20May%202026%2005:35:00%20GMT	https://www.cityofdoral.com/ak.m	C:/My%20Web%20Sites/doral/www.cityofdoral.com/ak.m	(from https://www.cityofdoral.com/Home)
11:05:00	68048/68048	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2019%20May%202026%2005:35:01%20GMT	https://www.cityofdoral.com/ak.t	C:/My%20Web%20Sites/doral/www.cityofdoral.com/ak.t	(from https://www.cityofdoral.com/Home)
11:05:01	23063/23063	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2007%20Aug%202025%2008:53:44%20GMT	https://www.cityofdoral.com/WebResource.axd?d=L6sm7a6eFOt9D7tu04RnBzP65uxZ284gdjpoDbU37dmUvw4bsKyWFQQLCEXuYd4rZhJa-Zp-Prlw4YXbQD6CQ2gcRjGBOZdtGt986c-RkJs1&t=638901392248157332	C:/My%20Web%20Sites/doral/www.cityofdoral.com/WebResourcebd3e.js	(from https://www.cityofdoral.com/Home)
11:05:02	90792/90792	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2022%20Apr%202026%2009:52:34%20GMT	https://www.cityofdoral.com/ScriptResource.axd?d=BAIm7rHck4qvt-1nI0boBeTLRL4I2o9XJbX2D8wINUoEqb6s4zmQvsLPM-p5_1iaH4ah2JBFT6-kQfwGCFNy2UnRCC2PhJTCuUouHqd7bM_BmMr-4Vt2ZT01umA9xTF_ywYMMnSrtdi1A4ifmp1gwVPMKh4h-Qsevv0zcG3WgE_C3LwAnbOegnnSf2Nz_TjUOFJqeQ2vv0P5Q7yTZzhG_y1ZzUidW_LF4n6c5XdUOM3V5iFKHXxmLWscP4crhSNAWkc82y1pd69Hlyhwf5dfPJcx-2hfZQJeQPjlca3Ot9zh2g7YEGiB7hs1BCg0YUabEE-Sc1QtUsHJarcvfHNHi8NpIbrHo99y0pCTOvwhDYe-GBNEa6w2wqc-CvA-7NpZnAOMesuJpUPVkBcMDiGkrizmyE9vwhNWFkXlKQcH5Yj8O4lSGkJs2V-_Lg3moqgW0	C:/My%20Web%20Sites/doral/www.cityofdoral.com/ScriptResource1523.axd	(from https://www.cityofdoral.com/Home)
11:05:02	143803/143803	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2014%20Jan%202020%2000:00:00%20GMT	https://www.cityofdoral.com/Telerik.Web.UI.WebResource.axd?_TSM_HiddenField_=ctl04_seamless_script_manager_TSM&compress=1&_TSM_CombinedScripts_=%3b%3bSystem.Web.Extensions%2c+Version%3d4.0.0.0%2c+Culture%3dneutral%2c+PublicKeyToken%3d31bf3856ad364e35%3aen-GB%3aa8328cc8-0a99-4e41-8fe3-b58afac64e45%3aea597d4b%3ab25378d2	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Telerik.Web.UI.WebResourcebc30.js	(from https://www.cityofdoral.com/Home)
11:05:04	10111/10111	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2014%20Jan%202020%2000:00:00%20GMT	https://www.cityofdoral.com/Telerik.Web.UI.WebResource.axd?_TSM_HiddenField_=ctl04_seamless_script_manager_TSM&compress=1&_TSM_CombinedScripts_=%3b%3bOpenCities.CustomControls%3aen-GB%3a5da10c8e-b64d-411a-8c8c-af154c09df97%3a8e1d32bf	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Telerik.Web.UI.WebResource93c4.js	(from https://www.cityofdoral.com/Home)
11:05:05	197105/197105	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:06%20GMT	https://www.cityofdoral.com/Elected-officials/Christi-Fraga/Doral-at-the-Center-of-G20	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Elected-officials/Christi-Fraga/Doral-at-the-Center-of-G20.html	(from https://www.cityofdoral.com/Home)
11:05:07	82034/82034	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:07%20GMT	https://www.cityofdoral.com/Government-Center/Office-of-the-City-Clerk/Council-Meetings	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Government-Center/Office-of-the-City-Clerk/Council-Meetings.html	(from https://www.cityofdoral.com/Home)
11:05:08	79909/79909	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:09%20GMT	https://www.cityofdoral.com/Elected-officials	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Elected-officials.html	(from https://www.cityofdoral.com/Home)
11:05:10	180/180	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20May%202026%2005:35:10%20GMT	https://www.cityofdoral.com/Home?oc_lang=en-US	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Homec765	(from https://www.cityofdoral.com/Home)
11:05:12	490996/490996	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:12%20GMT	https://www.cityofdoral.com/Home?lang_update=639147513103127535	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Homeff77.html	(from https://www.cityofdoral.com/Home)
11:05:13	76691/76691	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:13%20GMT	https://www.cityofdoral.com/About	C:/My%20Web%20Sites/doral/www.cityofdoral.com/About.html	(from https://www.cityofdoral.com/Home)
11:05:15	78760/78760	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:15%20GMT	https://www.cityofdoral.com/About/Doral-Facts	C:/My%20Web%20Sites/doral/www.cityofdoral.com/About/Doral-Facts.html	(from https://www.cityofdoral.com/Home)
11:05:15	81669/81669	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:15%20GMT	https://www.cityofdoral.com/About/Doral-History	C:/My%20Web%20Sites/doral/www.cityofdoral.com/About/Doral-History.html	(from https://www.cityofdoral.com/Home)
11:05:16	94386/94386	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:16%20GMT	https://www.cityofdoral.com/Businesses	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses.html	(from https://www.cityofdoral.com/Home)
11:05:17	91284/91284	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:17%20GMT	https://www.cityofdoral.com/Businesses/Economic-Development-Reports	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/Economic-Development-Reports.html	(from https://www.cityofdoral.com/Home)
11:05:17	128776/128776	---MCZ	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:18%20GMT	https://www.cityofdoral.com/Businesses/Local-Discounts	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/Local-Discounts.html	(from https://www.cityofdoral.com/Home)
11:05:19	89816/89816	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:19%20GMT	https://www.cityofdoral.com/Businesses/Get-Recognized	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/Get-Recognized.html	(from https://www.cityofdoral.com/Home)
11:05:20	95742/95742	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:20%20GMT	https://www.cityofdoral.com/Businesses/Access-Business-Support	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/Access-Business-Support.html	(from https://www.cityofdoral.com/Home)
11:05:20	80321/80321	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:21%20GMT	https://www.cityofdoral.com/Businesses/Plan-a-Grand-Opening	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/Plan-a-Grand-Opening.html	(from https://www.cityofdoral.com/Home)
11:05:22	87987/87987	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:22%20GMT	https://www.cityofdoral.com/Businesses/Connect-with-Partners	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/Connect-with-Partners.html	(from https://www.cityofdoral.com/Home)
11:05:23	78788/78788	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:23%20GMT	https://www.cityofdoral.com/Businesses/Doral-D%c3%a9cor-District	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/Doral-D%c3%a9cor-District.html	(from https://www.cityofdoral.com/Home)
11:05:25	78553/78553	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:25%20GMT	https://www.cityofdoral.com/Businesses/Downtown-Doral-Arts-District	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/Downtown-Doral-Arts-District.html	(from https://www.cityofdoral.com/Home)
11:05:27	88152/88152	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:27%20GMT	https://www.cityofdoral.com/Businesses/Sister-Cities-Program	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/Sister-Cities-Program.html	(from https://www.cityofdoral.com/Home)
11:05:27	171/171	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20May%202026%2005:35:27%20GMT	https://www.cityofdoral.com/Businesses/Doral-GIS-Info-Portal	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/Doral-GIS-Info-Portal	(from https://www.cityofdoral.com/Home)
11:05:27	203/203	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20May%202026%2005:35:28%20GMT	https://www.cityofdoral.com/Businesses/Sponsorship-Opportunities	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/Sponsorship-Opportunities	(from https://www.cityofdoral.com/Home)
11:05:29	83663/83663	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:30%20GMT	https://www.cityofdoral.com/Departments/Parks-and-Recreation/Sponsorship-Opportunities	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Departments/Parks-and-Recreation/Sponsorship-Opportunities.html	(from https://www.cityofdoral.com/Home)
11:05:30	81086/81086	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:30%20GMT	https://www.cityofdoral.com/Businesses/Business-Mailing-List	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/Business-Mailing-List.html	(from https://www.cityofdoral.com/Home)
11:05:30	80251/80251	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:31%20GMT	https://www.cityofdoral.com/Businesses/New-Businesses	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/New-Businesses.html	(from https://www.cityofdoral.com/Home)
11:05:31	81166/81166	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20May%202026%2005:35:31%20GMT	https://www.cityofdoral.com/Businesses/Doral-at-a-Glance	C:/My%20Web%20Sites/doral/www.cityofdoral.com/Businesses/Doral-at-a-Glance.html	(from https://www.cityofdoral.com/Home)
